DrugBank ID,Names
DB00303,"['ertapenem', ""(1r,5s,6s,8r,2's,4's)-2-(2-(3-carboxyphenylcarbamoyl)pyrrolidin-4-ylthio)-6-(1-hydroxyethyl)-1-methylcarbapenem-3-carboxylic acid"", '(4r,5s,6s)-3-((3s,5s)-5-((3-carboxyphenyl)carbamoyl)pyrrolidin-3-ylthio)-6-((r)-1-hydroxyethyl)-4-methyl-7-oxo-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylic acid', 'ertapenem']"
DB00304,"['desogestrel', '13-ethyl-11-methylene-18,19-dinor-17α-pregn-4-en-20-yn-17-ol', 'desogestrel', 'désogestrel', 'desogestrelum']"
DB00305,"['mitomycin', '7-amino-9alpha-methoxymitosane', 'ametycine', 'mitamycin', 'mitocin-c', 'mitomycin', 'mitomycin c', 'mmc']"
DB00306,"['talbutal', '(rs)-5-allyl-5-sec-butylpyrimidine-2,4,6(1h,3h,5h)-trione', '5-allyl-5-sec-butylbarbituric acid', 'sec-butyl allyl barbituric acid', 'talbutal', 'talbutale', 'talbutalum']"
DB00307,"['bexarotene', '4-[1-(3,5,5,8,8-pentamethyltetralin-2-yl)ethenyl]benzoic acid', '4-[1-(5,6,7,8,-tetrahydro-3,5,5,8,8-pentamethyl-2-naphtalenyl)ethenyl]benzoic acid', 'bexaroten', 'bexarotène', 'bexarotene', 'bexaroteno', 'bexarotenum', 'p-(1-(5,6,7,8-tetrahydro-3,5,5,8,8-pentamethyl-2-naphthyl)vinyl)benzoic acid']"
DB00308,"['ibutilide', 'ibutilid', 'ibutilida', 'ibutilide', 'ibutilidum', 'n-(4-{4-[ethyl(heptyl)amino]-1-hydroxybutyl}phenyl)methanesulfonamide']"
DB00309,"['vindesine', '3-(aminocarbonyl)-o4-deacetyl-3-de(methoxycarbonyl)vincaleukoblastine', '3-carbamoyl-4-deacetyl-3-de(methoxycarbonyl)vincaleukoblastine', 'desacetylvinblastine amide', 'vindesina', 'vindesine', 'vindesinum']"
DB00310,"['chlorthalidone', ""1-keto-3-(3'-sulfamyl-4'-chlorophenyl)-3-hydroxyisoindoline"", '1-oxo-3-(3-sulfamyl-4-chlorophenyl)-3-hydroxyisoindoline', '2-chloro-5-(1-hydroxy-3-oxo-1-isoindolinyl)benzenesulfonamide', '2-chloro-5-(2,3-dihydro-1-hydroxy-3-oxo-1h-isoindol-1-yl)benzenesulfonamide', ""3-(4'-chloro-3'-sulfamoylphenyl)-3-hydroxyphthalimidine"", '3-hydroxy-3-(4-chloro-3-sulfamylphenyl)phthalimidine', 'chlorphthalidolone', 'chlortalidone', 'chlortalidonum', 'chlorthalidone', 'clortalidona', 'phthalamodine', 'phthalamudine']"
DB00311,"['ethoxzolamide', '6-ethoxy-1,3-benzothiazole-2-sulfonamide', 'ethoxazolamide', 'ethoxyzolamide']"
DB00312,"['pentobarbital', '5-ethyl-5-(1-methyl-butyl)-pyrimidine-2,4,6-trione', '5-ethyl-5-(1-methylbutyl)-2,4,6(1h,3h,5h)-pyrimidinetrione', '5-ethyl-5-(1-methylbutyl)barbituric acid', '5-ethyl-5-(sec-pentyl)barbituric acid', 'pentobarbital', 'pentobarbitone']"
DB00313,"['valproic acid', '2-n-propyl-n-valeric acid', '2-propyl-pentanoic acid', '2-propylpentanoic acid', '2-propylvaleric acid', '4-heptanecarboxylic acid', 'acide valproïque', 'ácido valproico', 'acidum valproicum', 'di-n-propylacetic acid', 'di-n-propylessigsäure', 'dipropylacetic acid', 'dpa', 'n-dpa', 'valproate', 'valproic acid', 'valproinsäure', 'vpa']"
DB00314,"['capreomycin', 'capreomicina', 'capreomycin']"
DB00315,"['zolmitriptan', '(s)-4-({3-[2-(dimethylamino)ethyl]-1h-indol-5-yl}methyl)-1,3-oxazolidin-2-one', '4-[[3-(2-dimethylaminoethyl)-1h-indol-5-yl]methyl]oxazolidin-2-one', 'zolmitriptan', 'zolmitriptán', 'zolmitriptanum']"
DB00316,"['acetaminophen', '4-(acetylamino)phenol', '4-acetamidophenol', ""4'-hydroxyacetanilide"", 'acenol', 'acetaminofén', 'acétaminophène', 'apap', 'n-acetyl-p-aminophenol', 'p-acetamidophenol', 'p-acetaminophenol', 'p-acetylaminophenol', 'p-hydroxy-acetanilid', 'p-hydroxyacetanilide', 'p-hydroxyphenolacetamide', 'paracétamol', 'paracetamol', 'paracetamolum']"
DB00317,"['gefitinib', ""4-(3'-chloro-4'-fluoroanilino)-7-methoxy-6-(3-morpholinopropoxy)quinazoline"", 'gefitinib', 'n-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-(4-morpholinyl)propoxy)-4-quinazolinamine']"
DB00318,"['codeine', '(−)-codeine', '(5alpha,6alpha)-7,8-didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol', '(5α,6α)-7,8-didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol', '3-methylmorphin', '3-methylmorphine', '7,8-didehydro-4,5alpha-epoxy-3-methoxy-17-methylmorphinan-6alpha-ol', '7,8-didehydro-4,5α-epoxy-3-methoxy-17-methylmorphinan-6α-ol', 'codein', 'codeína', 'codéine', 'codeine anhydrous', 'codeine polistirex', 'codeinum', 'l-codeine', 'methylmorphine', 'morphine 3-methyl ether', 'morphine monomethyl ether', 'morphine-3-methyl ether', 'o(3)-methylmorphine']"
DB00319,"['piperacillin', '(2s,5r,6r)-6-{[(2r)-2-{[(4-ethyl-2,3-dioxopiperazin-1-yl)carbonyl]amino}-2-phenylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid', 'piperacilina', 'piperacillin', 'piperacillin anhydrous', 'piperacillina', 'pipéracilline', 'piperacillinum']"
DB00320,"['dihydroergotamine', '(2r,4r,7r)-n-[(1s,2s,4r,7s)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.02,7.012,16]hexadeca-1(16),9,12,14-tetraene-4-carboxamide', ""5'-benzyl-12'-hydroxy-2'-methyl-3',6',18-trioxo-9,10-dihydroergotaman"", ""9,10-dihydro-12'-hydroxy-2'-methyl-5'-(phenylmethyl)ergotoman-3',6',18-trione"", '9,10-dihydroergotamine', 'dihidroergotamina', 'dihydroergotamin', 'dihydroergotamine', 'dihydroergotaminum', 'diidroergotamina']"
DB00321,"['amitriptyline', '10,11-dihydro-5-(γ-dimethylaminopropylidene)-5h-dibenzo(a,d)cycloheptene', '10,11-dihydro-n,n-dimethyl-5h-dibenzo(a,d)heptalene-δ5,γ-propylamine', '3-(10,11-dihydro-5h-dibenzo(a,d)cyclohepten-5-ylidene)-n,n-dimethyl-1-propanamine', '3-(10,11-dihydro-5h-dibenzo[a,d]cyclohepten-5-ylidene)-n,n-dimethylpropan-1-amine', '5-(3-dimethylaminopropylidene)-10,11-dihydro-5h-dibenzo(a,d)cycloheptatriene', '5-(3-dimethylaminopropylidene)-10,11-dihydro-5h-dibenzo(a,d)cycloheptene', '5-(γ-dimethylaminopropylidene)-5h-dibenzo[a,d][1,4]cycloheptadiene', 'amitriptilina', 'amitriptylin', 'amitriptyline', 'amitriptylinum']"
DB00322,"['floxuridine', '1-(2-deoxy-beta-d-ribofuranosyl)-5-fluorouracil', ""1-beta-d-2'-deoxyribofuranosyl-5-flurouracil"", ""1beta-d-2'-deoxyribofuranosyl-5-flurouracil"", ""2'-deoxy-5-fluorouridine"", '5-fluoro-2-desoxyuridine', ""5-fluoro-2'-deoxyuridine"", '5-fluorodeoxyuridine', ""5-fluorouracil 2'-deoxyriboside"", '5-fluorouracil deoxyriboside', '5fdu', ""beta-5-fluoro-2'-deoxyuridine"", 'deoxyfluorouridine', 'fdu', 'floxiridina', 'floxuridin', 'floxuridine', 'floxuridinum', 'fluorodeoxyuridine', 'fluoruridine deoxyribose']"
DB00323,"['tolcapone', '(3,4-dihydroxy-5-nitrophenyl)(4-methylphenyl)methanone', ""3,4-dihydroxy-4'-methyl-5-nitrobenzophenone"", ""3,4-dihydroxy-5-nitro-4'-methylbenzophenone"", ""4'-methyl-3,4-dihydroxy-5-nitrobenzophenone"", 'tolcapon', 'tolcapona', 'tolcapone', 'tolcaponum']"
DB00324,"['fluorometholone', '(1r,2s,8s,10s,11s,14r,15s,17s)-14-acetyl-1-fluoro-14,17-dihydroxy-2,8,15-trimethyltetracyclo[8.7.0.02,7.011,15]heptadeca-3,6-dien-5-one', '9-fluoro-11beta,17-dihydroxy-6alpha-methylpregna-1,4-diene-3,20-dione', 'fluorometholon', 'fluorométholone', 'fluorometholone', 'fluorometholonum', 'fluorometolona']"
DB00325,"['nitroprusside', 'nitroferricyanide']"
DB00326,"['calcium glucoheptonate', 'calcii glucoheptonas', 'calcium (2ξ)-d-gluco-heptonate', 'calcium bis[(2ξ)-d-glycero-d-gulo-heptonate]', 'calcium bis[(2ξ)-d-glycero-d-ido-heptonate]', 'calcium bis[(3r,4s,5r,6r)-2,3,4,5,6,7-hexahydroxyheptanoate]', 'calcium gluceptate', 'calcium glucoheptonat', 'calcium glucoheptonate', 'calcium glucoheptonate (1:2)', 'glucoheptonate de calcium', 'glucoheptonato calcico']"
DB00327,"['hydromorphone', '(-)-(5r)-4,5-epoxy-3-hydroxy-9α-methylmorphinan-6-one', '4,5-epoxy-3-hydroxy-17-methylmorphinan-6-one', '4,5alpha-epoxy-3-hydroxy-17-methyl-6-morphinanone', '6-deoxy-7,8-dihydro-6-oxomorphine', '7,8-dihydromorphinone', 'dihydromorfinon', 'dihydromorphinone', 'dimorphone', 'hidromorfona', 'hydromorfona', 'hydromorphone', 'hydromorphonum', 'idromorfone']"
DB00328,"['indometacin', '{1-[(4-chlorophenyl)carbonyl]-5-methoxy-2-methyl-1h-indol-3-yl}acetic acid', '1-(p-chlorobenzoyl)-5-methoxy-2-methylindole-3-acetic acid', 'indometacin', 'indometacina', 'indometacine', 'indometacinum', 'indomethacin']"
DB00330,"['ethambutol', ""(+)-2,2'-(ethylenediimino)di-1-butanol"", '(+)-ethambutol', ""(+)-n,n'-bis(1-(hydroxymethyl)propyl)ethylenediamine"", '(+)-s,s-ethambutol', '(2s,7s)-2,7-diethyl-3,6-diazaoctane-1,8-diol', '(s,s)-ethambutol', 'emb', 'etambutol', 'etambutolo', 'ethambutol', 'ethambutolum', 's,s-ethambutol']"
DB00331,"['metformin', '1,1-dimethylbiguanide', 'dimethylbiguanid', 'metformin', 'metformina', 'metformine', 'metforminum']"
DB00332,"['ipratropium', 'bromuro de ipratropio', 'ipratropium cation', 'ipratropium ion']"
DB00333,"['methadone', '(+-)-methadone', '(+/-)-methadone', '(±)-methadone', '6-dimethylamino-4,4-diphenyl-3-heptanone', 'dl-methadone', 'metadona', 'methadone', 'methadonum']"
DB00334,"['olanzapine', '2-methyl-4-(4-methyl-1-piperazinyl)-10h-thieno[2,3-b][1,5]benzodiazepine', 'olanzapin', 'olanzapina', 'olanzapine', 'olanzapinum']"
DB00335,"['atenolol', '1-p-carbamoylmethylphenoxy-3-isopropylamino-2-propanol', '2-(p-(2-hydroxy-3-(isopropylamino)propoxy)phenyl)acetamide', '4-(2-hydroxy-3-((1-methylethyl)amino)propoxy)benzeneacetamide', 'atenolol', 'atenololum']"
DB00336,"['nitrofural', '5-nitro-2-furaldehyde semicarbazone', 'furacilin', 'nitrofural']"
DB00337,"['pimecrolimus', '33-epi-chloro-33-desoxyascomycin', 'pimecrolimus', 'pimecrolimusum']"
DB00338,"['omeprazole', 'omep', 'omeprazol', 'omeprazole', 'omeprazolum']"
DB00339,"['pyrazinamide', '2-carbamylpyrazine', '2-pyrazinecarboxamide', 'aldinamide', 'pirazinamida', 'pirazinamide', 'pyrazinamid', 'pyrazinamida', 'pyrazinamide', 'pyrazinamidum', 'pyrazine carboxamide', 'pyrazine-2-carboxamide', 'pyrazineamide', 'pyrazinecarboxamide', 'pyrazinoic acid amide', 'pyrizinamide']"
DB00340,"['metixene', 'methixen', 'methixene', 'metisene', 'metixene', 'métixène', 'metixeno', 'metixenum']"
DB00341,"['cetirizine', 'cetirizin', 'cetirizina', 'cetirizine', 'cetirizinum']"
DB00342,"['terfenadine', '(rs)-1-(4-tert-butylphenyl)-4-{4-[hydroxy(diphenyl)methyl]piperidin-1-yl}-butan-1-ol', 'terfenadin', 'terfenadina', 'terfénadine', 'terfenadine', 'terfenadinum']"
DB00343,"['diltiazem', '(+)-cis-5-[2-(dimethylamino)ethyl]-2,3-dihydro-3-hydroxy-2-(p-methoxyphenyl)-1,5-benzothiazepin-4(5h)-one acetate ester', '(2s-cis)-3-(acetyloxy)-5-[2-(dimethylamino)ethyl]-2,3-dihydro-2-(4-methoxyphenyl)-1,5-benzothiazepin-4(5h)-one', '(2s,3s)-5-(2-(dimethylamino)ethyl)-2-(4-methoxyphenyl)-4-oxo-2,3,4,5-tetrahydrobenzo[b][1,4]thiazepin-3-yl acetate', 'acetic acid (2s,3s)-5-(2-dimethylamino-ethyl)-2-(4-methoxy-phenyl)-4-oxo-2,3,4,5-tetrahydro-benzo[b][1,4]thiazepin-3-yl ester', 'd-cis-diltiazem', 'diltiazem', 'diltiazemum']"
DB00344,"['protriptyline', '3-(5h-dibenzo[a,d][7]annulen-5-yl)-n-methylpropan-1-amine', '3-(5h-dibenzo[a,d]cyclohepten-5-yl)-n-methyl-1-propanamine', '5-(3-methylaminopropyl)-5h-dibenzo[a,d]cycloheptene', '7-(3-methylaminopropyl)-1,2:5,6-dibenzocycloheptatriene', 'amimetilina', 'n-methyl-5h-dibenzo[a,d]cycloheptene-5-propanamine', 'n-methyl-5h-dibenzo[a,d]cycloheptene-5-propylamine', 'protriptilina', 'protriptylin', 'protriptyline', 'protriptylinum']"
DB00345,"['aminohippuric acid', '4-aminohippuric acid', 'aminohippurate', 'n-(p-aminobenzoyl)aminoacetic acid', 'n-(p-aminobenzoyl)glycine', 'n-(para-aminobenzoyl)glycine', 'p-aminohippurate', 'p-aminohippuric acid', 'pah', 'paha', 'para-aminohippurate', 'para-aminohippuric acid ', 'paraaminohippuric acid']"
DB00346,"['alfuzosin', '(±)-n-[3-[(4-amino-6,7-dimethoxy-2-quinazolinyl)methylamino]propyl]tetrahydro-2-furamide', 'alfuzosin', 'alfuzosina', 'alfuzosine', 'alfuzosinum', 'n-[3-[(4-amino-6,7-dimethoxy-quinazolin-2-yl)- methyl-amino]propyl] tetrahydrofuran- 2-carboxamide']"
DB00347,"['trimethadione', 'trimetadiona', 'trimethadion', 'trimethadione', 'triméthadione', 'trimethadionum', 'trimethinum', 'troxidone']"
DB00348,"['nitisinone', '2-(alpha,alpha,alpha-trifluoro-2-nitro-p-tuluoyl)-1,3-cyclohexanedione', 'nitisinona', 'nitisinone', 'nitisinonum']"
DB00349,"['clobazam', '1-phenyl-5-methyl-8-chloro-1,2,4,5-tetrahydro-2,4-dioxo-3h-1,5-benzodiazepine', '7-chloro-1-methyl-5-phenyl-1,5-dihydro-benzo[b][1,4]diazepine-2,4-dione', 'clobazam', 'clobazamum']"
DB00350,"['minoxidil', '2,4-diamino-6-piperidinopyrimidine 3-oxide', '6-piperidin-1-ylpyrimidine-2,4-diamine 3-oxide', 'minossidile', 'minoxidil', 'minoxidilum']"
DB00351,"['megestrol acetate', '17-acetoxy-6-methylpregna-4,6-diene-3,20-dione', '17-hydroxy-6-methylpregna-4,6-diene-3,20-dione 17-acetate', '17alpha-acetoxy-6-dehydro-6-methylprogesterone', '17alpha-hydroxy-6-methylpregna-4,6-diene-3,20-dione acetate', '17α-acetoxy-6-dehydro-6-methylprogesterone', '17α-hydroxy-6-methylpregna-4,6-diene-3,20-dione acetate', '6-dehydro-6-methyl-17alpha-acetoxyprogesterone', '6-dehydro-6-methyl-17α-acetoxyprogesterone', '6-methyl-17alpha-acetoxypregna-4,6-diene-3,20-dione', '6-methyl-17alpha-hydroxy-delta(sup 6)-progesterone acetate', '6-methyl-17α-acetoxypregna-4,6-diene-3,20-dione', '6-methyl-17α-hydroxy-delta(sup 6)-progesterone acetate', '6-methyl-6-dehydro-17alpha-acetoxyprogesterone', '6-methyl-6-dehydro-17α-acetoxyprogesterone', '6-methyl-delta(sup 4,6)-pregnadien-17alpha-ol-3,20-dione acetate', '6-methyl-delta(sup 4,6)-pregnadien-17α-ol-3,20-dione acetate', '6-methyl-delta(sup 6)-dehydro-17alpha-acetoxyprogesterone', '6-methyl-delta(sup 6)-dehydro-17α-acetoxyprogesterone', 'megestrol acetate', 'mga']"
DB00352,"['tioguanine', '2-amino 6mp', '2-amino-1,7-dihydro-6h-purine-6-thione', '2-amino-1,9-dihydropurine-6-thione', '2-amino-6-mercaptopurine', '2-amino-6-merkaptopurin', '2-amino-6-purinethiol', '2-aminopurin-6-thiol', '2-aminopurine-6-thiol', '2-aminopurine-6(1h)-thione', '6-mercapto-2-aminopurine', '6-mercaptoguanine', '6-tg', '6-thioguanine', 'tg', 'thg', 'thioguanine', 'thioguanine anhydrous', 'thioguanine, anhydrous', 'tioguanin', 'tioguanina', 'tioguanine', 'tioguaninum']"
DB00353,"['methylergometrine', '9,10-didehydro-n-[1-(hydroxymethyl)-propyl]-d-lysergamide', 'd-lysergic acid 1-butanolamide', 'ergotyl', 'methylergobasin', 'methylergometrin', 'méthylergométrine', 'methylergometrine', 'methylergometrinum', 'methylergonovine', 'metilergometrina', 'metilergometrinio']"
DB00354,"['buclizine', '1-(p-tert-butylbenzyl)-4-(4-chloro-alpha-phenylbenzyl)piperazine', 'buclizina', 'buclizine', 'buclizinum']"
DB00355,"['aztreonam', '(z,)-2-((((2-amino-4-thiazolyl)(((2s,3s,)-2-methyl-4-oxo-1-sulfo-3-azetidinyl)carbamoyl)methylene)amino)oxy)-2-methylpropionic acid', '2-({[(1z)-1-(2-amino-1,3-thiazol-4-yl) -2- {[(2s,3s)-2-methyl-4-oxo-1-sulfoazetidin-3-yl]amino} -2- oxoethylidene]amino}oxy)-2-methylpropanoic acid', 'aztreonam', 'aztréonam', 'aztreonamum']"
DB00356,"['chlorzoxazone', '2-hydroxy-5-chlorobenzoxazole', '5-chloro-2-benzoxazolinone', '5-chloro-2-benzoxazolol', '5-chloro-2-benzoxazolone', '5-chloro-2-hydroxybenzoxazole', '5-chloro-2(3h)-benzoxazolone', '5-chloro-3h-benzooxazol-2-one', '5-chlorobenzoxazolidone', '5-chlorobenzoxazolin-2-one', 'chlorzoxane', 'chlorzoxazon', 'chlorzoxazona', 'chlorzoxazone', 'chlorzoxazonum', 'clorzoxazona', 'clorzoxazone']"
DB00357,"['aminoglutethimide', '2-(p-aminophenyl)-2-ethylglutarimide', '3-ethyl-3-(p-aminophenyl)-2,6-dioxopiperidine', 'aminoglutethimid', 'aminoglutéthimide', 'aminoglutethimide', 'aminoglutethimidum', 'aminoglutetimida', 'aminoglutetimide', 'dl-aminoglutethimide', 'p-aminoglutethimide', 'α-(p-aminophenyl)-α-ethylglutarimide']"
DB00358,"['mefloquine', '[(r*,s*)-2,8-bis(trifluoromethyl)quinolin-4-yl]-(2-piperidyl)methanol', 'alpha-2-piperidinyl-2,8-bis(trifluoromethyl)-4-quinolinemethanol', 'mefloquin', 'mefloquina', 'méfloquine', 'mefloquine', 'mefloquinum']"
DB00359,"['sulfadiazine', '2-sulfanilamidopyrimidine', '2-sulfanilylaminopyrimidine', '4-amino-n-2-pyrimidinylbenzenesulfonamide', 'n(1)-2-pyrimidinylsulfanilamide', 'n(1)-2-pyrimidylsulfanilamide', 'sulfadiazin', 'sulfadiazina', 'sulfadiazine', 'sulfadiazinum', 'sulfapyrimidine', 'sulphadiazine']"
DB00360,"['sapropterin', '(−)-(6r)-2-amino-6-((1r,2s)-1,2-dihydroxypropyl)-5,6,7,8-tetrahydro-4(3h)-pteridinone', '(6r)-l-erythro-5,6,7,8-tetrahydrobiopterin', '(6r)-l-erythro-tetrahydrobiopterin', '2-amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1h)-pteridinone', '5,6,7,8-tetrahydrobiopterin', '6r-5,6,7,8-tetrahydrobiopterin', '6r-bh4', '6r-l-5,6,7,8-tetrahydrobiopterin', 'r-thbp', 'sapropterin', 'sapropterina', 'sapropterinum', 'tetrahydrobiopterin']"
DB00361,"['vinorelbine', ""5'-noranhydrovinblastine"", 'vinorelbin', 'vinorelbina', 'vinorelbine', 'vinorelbinum']"
DB00362,"['anidulafungin', 'anidulafungin', 'anidulafungina', 'anidulafungine', 'anidulafunginum']"
DB00363,"['clozapine', 'clozapin', 'clozapina', 'clozapine', 'clozapinum']"
DB00364,"['sucralfate', 'hexadeca-μ-hydroxytetracosahydroxy[μ8-[1,3,4,6-tetra-o-sulfo-β-dfructofuranosyl-α-d-glucopyranoside tetrakis(hydrogen sulfato)8-)]]hexadecaaluminum', 'sucralfat', 'sucralfate', 'sucralfato', 'sucralfatum']"
DB00365,"['grepafloxacin', '']"
DB00366,"['doxylamine', '2-(alpha-(2-(dimethylamino)ethoxy)-alpha-methylbenzyl)pyridine', '2-dimethylaminoethoxyphenylmethyl-2-picoline', 'dossilamina', 'doxilamina', 'doxilminio', 'doxylamine', 'doxylaminum', 'n,n-dimethyl-2-(1-phenyl-1-(2-pyridinyl)ethoxy)ethanamine', 'phenyl-2-pyridylmethyl-beta-n,n-dimethylaminoethyl ether']"
DB00367,"['levonorgestrel', '(-)-13-ethyl-17-hydroxy-18,19-dinor-17alpha-pregn-4-en-20-yn-3-one', '(8r,9s,10r,13s,14s,17r)-13-ethyl-17-ethynyl-17-hydroxy- 1,2,6,7,8,9,10,11,12,13,14,15,16, 17- tetradecahydrocyclopenta[a] phenanthren-3-one', '13-beta-ethyl-17alpha-ethynyl-17beta-hydroxygon-4-en-3-one', '13-ethyl-17-alpha-ethynyl-17-beta-hydroxy-4-gonen-3-one', '13-ethyl-17-alpha-ethynylgon-4-en-17-beta-ol-3-one', '17-alpha-ethinyl-13-beta-ethyl-17-beta-hydroxy-4-estren-3-one', '17-alpha-ethynyl-13-ethyl-19-nortestosterone', '17-ethynyl-18-methyl-19-nortestosterone', '17alpha-ethynyl-13beta-ethyl-3-oxo-4-estren-17beta-ol', '17alpha-ethynyl-17-hydroxy-18-methylestr-4-en-3-one', '17alpha-ethynyl-18-homo-19-nortestosterone', '18-methyl-17-alpha-ethynyl-19-nortestosterone', '18-methylnorethisterone', 'd(-)-norgestrel', 'lèvonorgestrel', 'levonorgestrel', 'levonorgestrelum']"
DB00368,"['norepinephrine', '(−)-arterenol', '(−)-noradrenaline', '(−)-norepinephrine', '(r)-(−)-norepinephrine', '(r)-4-(2-amino-1-hydroxyethyl)-1,2-benzenediol', '(r)-noradrenaline', '(r)-norepinephrine', '4-[(1r)-2-amino-1-hydroxyethyl]-1,2-benzenediol', 'arterenol', 'l-noradrenaline', 'l-norepinephrine', 'nor-adrenaline', 'noradrenaline', 'norepinefrina', 'norépinéphrine', 'norepinephrine', 'norepinephrinum']"
DB00369,"['cidofovir', '({[(s)-1-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3-hydroxypropan-2-yl]oxy}methyl)phosphonic acid', '(s)-(3-(4-amino-2-oxopyrimidin-1(2h)-yl)-1-hydroxypropan-2-yloxy)methylphosphonic acid', '(s)-1-(3-hydroxy-2-phosphonomethoxypropyl)cytosine', '(s)-1-[3-hydroxy-2-(phosphonomethoxy)propyl]cytosine', '(s)-1-[3-hydroxy-2-(phosphonylmethoxy)propyl]cytosine', '(s)-hpmpc', '[(s)-2-(4-amino-2-oxo-2h-pyrimidin-1-yl)-1-hydroxymethyl-ethoxymethyl]-phosphonic acid', '[[(s)-2-(4-amino-2-oxo-1(2h)-pyrimidinyl)-1-(hydroxymethyl)ethoxy]methyl]phosphonic acid', '1-(s)-[3-hydroxy-2-(phosphonomethoxy)propyl]cytosine', '1-[(s)-3-hydroxy-2-(phosphonomethoxy)propyl]cytosine', 'cdv', 'cidofovir', 'cidofovir anhydrous', 'cidofovirum']"
DB00370,"['mirtazapine', '1,2,3,4,10,14b-hexahydro-2-methylpyrazino(2,1-a)pyrido(2,3-c)benzazepine', '6-azamianserin', 'mepirzapine', 'mirtazapin', 'mirtazapina', 'mirtazapine', 'mirtazapinum']"
DB00371,"['meprobamate', 'meprobamat', 'meprobamate', 'meprobamato', 'meprobamatum', 'meprobamic acid']"
DB00372,"['thiethylperazine', '2-(ethylthio)-10-[3-(4-methylpiperazin-1-yl)propyl]-10h-phenothiazine', 'norzine', 'thiethylperazin', 'thiéthylpérazine', 'thiethylperazine', 'thiethylperazinum', 'tietilperazina']"
DB00373,"['timolol', '(s)-1-(tert-butylamino)-3-[(4-morpholin-4-yl-1,2,5-thiadiazol-3-yl)oxy]propan-2-ol', 'timolol', 'timolol anhydrous', 'timololo', 'timololum']"
DB00374,"['treprostinil', 'tréprostinil', 'treprostinil', 'treprostinilo', 'treprostinilum']"
DB00375,"['colestipol', 'colestipol', 'colestipolum', 'copolymer of bis(2-aminoethyl)amine and 2-(chloromethyl)oxirane', 'epichlorohydrin-tetraethylenepentamine polymer']"
DB00376,"['trihexyphenidyl', 'trihexifenidilo', 'trihexyphenidyl', 'trihexyphénidyle', 'trihexyphenidylum']"
DB00377,"['palonosetron', '(3as)-2-[(3s)-1-azabicyclo[2.2.2]octan-3-yl]-2,3,3a,4,5,6-hexahydro-1h-benzo[de]isoquinolin-1-one', '2-(1-azabicyclo(2.2.2)oct-3-yl)-2,3,3a,4,5,6-hexahydro-1h-benz(de)isoquinolin-1-one', 'palonosetron', 'palonosétron', 'palonosetrón', 'palonosetronum']"
DB00378,"['dydrogesterone', '(9β,10α)-pregna-4,6-diene-3,20-dione', '10α-isopregnenone', '6-dehydro-retro-progesterone', '9β,10α-pregna-4,6-diene-3,20-dione', 'delta(6)-retroprogesterone', 'delta(sup 6)-retroprogesterone', 'didrogesterona', 'didrogesterone', 'dydrogesterona', 'dydrogestérone', 'dydrogesterone', 'dydrogesteronum', 'gestatron', 'hydrogesterone', 'hydrogestrone', 'isopregnenone', 'retro-6-dehydroprogesterone']"
DB00379,"['mexiletine', '(±)-1-(2,6-dimethylphenoxy)propan-2-amine', '(2rs)-1-(2,6-dimethylphenoxy)-2-aminopropane', '1-(2,6-dimethylphenoxy)-2-propanamine', ""1-(2',6'-dimethylphenoxy)-2-aminopropane"", '1-methyl-2-(2,6-xylyloxy)ethanamine', 'mexiletina', 'mexiletine', 'mexilétine', 'mexiletinum']"
DB00380,"['dexrazoxane', ""(+)-(s)-4,4'-propylenedi-2,6-piperazinedione"", '(+)-1,2-bis(3,5-dioxo-1-piperazinyl)propane', '4-[(2s)-2-(3,5-dioxopiperazin-1-yl)propyl]piperazine-2,6-dione', 'dexrazoxan', 'dexrazoxane', 'dexrazoxano', 'dexrazoxanum', 'dextrorazoxane']"
DB00381,"['amlodipine', '(rs)-3-ethyl 5-methyl 2-[(2-aminoethoxy)methyl]-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate', '3-ethyl 5-methylester, (±)-2-[(2-aminoethoxy)methyl]-4-(o-chlorophenyl)-1,4-dihydro-6-methyl-3,5-pyridinedicarboxylate', 'amlodipine', 'amlodipine free base', 'amlodipino', 'amlodipinum']"
DB00382,"['tacrine', '1,2,3,4-tetrahydro-9-acridinamine', '1,2,3,4-tetrahydro-9-aminoacridine', '1,2,3,4-tetrahydroacridin-9-amine', '5-amino-6,7,8,9-tetrahydroacridine', '9-amino-1,2,3,4-tetrahydroacridine', 'tacrin', 'tacrine', 'tacrinum', 'tetrahydroaminacrine', 'tetrahydroaminoacridine', 'tha']"
DB00383,"['oxyphencyclimine', 'oxifencicliminum', 'oxyphencyclimine', 'oxyphencycliminum']"
